ID,Social,Fname,Middle,Lname,Number,Street,Apartment,City,State,Zip
B1,0,Marlowe,H,Gido,113,Markm Rd,1w4,Anchorage,AK,99523
B2,716464285,Dowers,U,Bowie,647,Mcmillin St,2k5,Newark,DE,19718
B3,457777081,Ruehl,S,Kulcinski,248,Peotter Street,8r6,Wenden,AZ,85357
B4,664674262,Leod,M,Nair,681,Geneviev Avenue,5i3,Deary,ID,83823
B5,600270347,Berline,W,Aktuna,584,Risley Street,2n6,Saltillo,MS,38866
B6,0,Ramina,N,Trevethan,196,Taziri,7f6,Crescent,MO,63018
B7,315838172,Acevedo,,Liebermann,468,Wehr Road,3w3,Elwood,IA,52226
B8,507670272,Soetjahja,V,Jehu,357,Siegle Ave,5s6,Pawtucket,RI,2861
B9,317760585,Wignall,Q,Ruffin,717,Denegri Ave,8d7,Crawfordsville,IN,47936
B10,432437247,Kahle,,Tele,831,Nengchunchng Pkwy,3p5,Crawfordville,GA,30631
B11,310544123,Ted,,Ikmar,61,Rodkewitz Rd,7z7,Kosrae,FM,96944
B12,0,Tetreault,Z,Horner,973,Neuneker Pkwy,8a1,Kyle,SD,57752
B13,0,Agnes,S,Lilli,730,Zeidler St,0u7,Maple City,KS,67102
B14,0,Hussey,,Keiffenheim,580,Anagnostos Street,4b2,Greenville,KY,42345
B15,0,Shilanski,J,Kachong,40,Bouteille Rd,3f3,Costigan,ME,4423
B16,375135277,Ritzenthaler,V,Wark,97,Soifer,6g0,Naruna,VA,24576
B17,0,Euge,R,Sofiyani,348,Kozyra Avenue,2o1,South Weymouth,MA,2190
B18,700224813,Delallee,E,Kalwarowskyj,887,Aima Road,2l3,Kingsville,OH,44048
B19,0,Woodyer,T,Capener,967,Tasaka St,6x7,Coteau,ND,58728
B20,0,Otremba,,Hinton,821,Norcini Ave,6w8,Hutchinson,PA,15640
B21,742565070,Zepeda,Y,Graber,991,Waldenmaier Ave,5z1,Las Vegas,NV,89199
B22,546808477,Kuder,K,Miklos,824,Savage Avenue,8c4,Whiteriver,AZ,85941
B23,773840301,Milutinovic,Z,Brosdal,364,Mabe Road,2a0,Normal,AL,35762
B24,0,Bay,Q,Duverneuil,985,Aydin Ave,1.00E+01,Washington,DC,20500
B25,576568122,Chaiseong,D,Cubillos,548,Waghemans Avenue,0u7,Elkton,MD,21921
B26,411048861,Nicolai,C,Yrigollen,391,Kaplinsky Avenue,3s6,Saint Petersburg,FL,33784
B27,0,Lightsey,S,Fransjan,,PO Box 2277,,Corvallis,OR,97333
B28,542523017,Goodfellow,H,Melendez,409,Auni Street,5m8,Allen,KY,41601
